Airline,AirlineID,SourceAirport,SourceAirportID,DestinationAirport,DestinationAirportID,Codeshare,Stops,Equipment,AirportID,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,Tz
2B,410,AER,2965,KZN,2990,,0,CR2,AER,URSS,43.449902,39.9566,89.0,3.0,N,Europe/Moscow,airport,OurAirports
2B,410,ASF,2966,KZN,2990,,0,CR2,ASF,URWA,46.2832984924,48.0063018799,-65.0,4.0,N,Europe/Samara,airport,OurAirports
2B,410,ASF,2966,MRV,2962,,0,CR2,ASF,URWA,46.2832984924,48.0063018799,-65.0,4.0,N,Europe/Samara,airport,OurAirports
2B,410,GYD,2922,NBC,6969,,0,CR2,GYD,UBBB,40.46749877929688,50.04669952392578,10.0,4.0,E,Asia/Baku,airport,OurAirports
2B,410,KGD,2952,EGO,6156,,0,CR2,KGD,UMKK,54.88999938964844,20.59259986877441,42.0,2.0,N,Europe/Kaliningrad,airport,OurAirports
2B,410,LED,2948,KZN,2990,,0,CR2,LED,ULLI,59.80030059814453,30.262500762939453,78.0,3.0,N,Europe/Moscow,airport,OurAirports
2B,410,LED,2948,NBC,6969,,0,CR2,LED,ULLI,59.80030059814453,30.262500762939453,78.0,3.0,N,Europe/Moscow,airport,OurAirports
2B,410,LED,2948,UUA,6160,,0,CR2,LED,ULLI,59.80030059814453,30.262500762939453,78.0,3.0,N,Europe/Moscow,airport,OurAirports
2J,470,ABJ,253,BOY,247,,0,CRJ,ABJ,DIAP,5.261390209197998,-3.9262900352478023,21.0,0.0,N,Africa/Abidjan,airport,OurAirports
2J,470,ABJ,253,OUA,246,,0,E70 CRJ M87,ABJ,DIAP,5.261390209197998,-3.9262900352478023,21.0,0.0,N,Africa/Abidjan,airport,OurAirports
2J,470,COO,245,LFW,298,,0,M87,COO,DBBB,6.357230186462402,2.384350061416626,19.0,1.0,N,Africa/Porto-Novo,airport,OurAirports
2J,470,COO,245,OUA,246,,0,M87,COO,DBBB,6.357230186462402,2.384350061416626,19.0,1.0,N,Africa/Porto-Novo,airport,OurAirports
2J,470,DKR,1084,BKO,1044,,0,M87,DKR,GOOY,14.739700317382812,-17.49020004272461,85.0,0.0,N,Africa/Dakar,airport,OurAirports
2J,470,DKR,1084,OUA,246,,0,M87,DKR,GOOY,14.739700317382812,-17.49020004272461,85.0,0.0,N,Africa/Dakar,airport,OurAirports
2J,470,LFW,298,OUA,246,,0,M87 CRJ,LFW,DXXX,6.165609836578369,1.2545100450515747,72.0,0.0,N,Africa/Lome,airport,OurAirports
2K,1338,GYE,2673,BOG,2709,,0,319,GYE,SEGU,-2.15741991997,-79.88359832760001,19.0,-5.0,U,America/Guayaquil,airport,OurAirports
2K,1338,GYE,2673,CLO,2715,,0,319,GYE,SEGU,-2.15741991997,-79.88359832760001,19.0,-5.0,U,America/Guayaquil,airport,OurAirports
2K,1338,GYE,2673,SCY,6045,,0,319 320,GYE,SEGU,-2.15741991997,-79.88359832760001,19.0,-5.0,U,America/Guayaquil,airport,OurAirports
2K,1338,GYE,2673,UIO,2688,,0,320 319,GYE,SEGU,-2.15741991997,-79.88359832760001,19.0,-5.0,U,America/Guayaquil,airport,OurAirports
2K,1338,SCY,6045,GYE,2673,,0,319 320,SCY,SEST,-0.910206,-89.617401,62.0,-6.0,U,Pacific/Galapagos,airport,OurAirports
2L,2750,BDS,1506,ZRH,1678,,0,100,BDS,LIBR,40.6576,17.947001,47.0,1.0,E,Europe/Rome,airport,OurAirports
2L,2750,LCA,1197,ZRH,1678,,0,319,LCA,LCLK,34.875099182128906,33.624900817871094,8.0,2.0,E,Asia/Nicosia,airport,OurAirports
2L,2750,LPA,1054,ZRH,1678,,0,319,LPA,GCLP,27.931900024414062,-15.38659954071045,78.0,0.0,E,Atlantic/Canary,airport,OurAirports
2N,3652,KOK,435,POR,448,,0,SF3,KOK,EFKK,63.721199035645,23.143100738525,84.0,2.0,E,Europe/Helsinki,airport,OurAirports
2N,3652,KRF,718,ARN,737,,0,ATP,KRF,ESNK,63.04859924316406,17.76889991760254,34.0,1.0,E,Europe/Stockholm,airport,OurAirports
2N,3652,KRF,718,GEV,715,,0,ATP,KRF,ESNK,63.04859924316406,17.76889991760254,34.0,1.0,E,Europe/Stockholm,airport,OurAirports
2N,3652,MHQ,442,ARN,737,,0,SF3,MHQ,EFMA,60.122200012207,19.898199081421,17.0,2.0,E,Europe/Mariehamn,airport,OurAirports
2N,3652,MHQ,442,TKU,460,,0,SF3,MHQ,EFMA,60.122200012207,19.898199081421,17.0,2.0,E,Europe/Mariehamn,airport,OurAirports
2N,3652,POR,448,ARN,737,,0,SF3,POR,EFPO,61.461700439453,21.799999237061,44.0,2.0,E,Europe/Helsinki,airport,OurAirports
2N,3652,POR,448,KOK,435,,0,SF3,POR,EFPO,61.461700439453,21.799999237061,44.0,2.0,E,Europe/Helsinki,airport,OurAirports
2O,146,ADQ,3531,AOS,7167,,0,BNI,ADQ,PADQ,57.75,-152.4940033,78.0,-9.0,A,America/Anchorage,airport,OurAirports
2O,146,ADQ,3531,KKB,7168,,0,BNI,ADQ,PADQ,57.75,-152.4940033,78.0,-9.0,A,America/Anchorage,airport,OurAirports
2O,146,ADQ,3531,KLN,7162,,0,BNI,ADQ,PADQ,57.75,-152.4940033,78.0,-9.0,A,America/Anchorage,airport,OurAirports
2O,146,ADQ,3531,KOZ,7164,,0,BNI,ADQ,PADQ,57.75,-152.4940033,78.0,-9.0,A,America/Anchorage,airport,OurAirports
2O,146,ADQ,3531,OLH,7163,,0,BNI,ADQ,PADQ,57.75,-152.4940033,78.0,-9.0,A,America/Anchorage,airport,OurAirports
2O,146,KLN,7162,KYK,7161,,0,BNI,KLN,PALB,57.5350990295,-153.977996826,87.0,-9.0,A,America/Anchorage,airport,OurAirports
2P,897,CRM,6024,MNL,2397,,0,DH4,CRM,RPVF,12.502400398254396,124.63600158691406,6.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,DGT,2425,MNL,2397,,0,320,DGT,RPVD,9.3337097168,123.300003052,15.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,KLO,2430,MNL,2397,,0,320,KLO,RPVK,11.679400444,122.375999451,14.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,LGP,4203,MNL,2397,,0,320,LGP,RPLP,13.1575,123.735,66.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,BSO,6019,,0,DH4,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,BXU,4200,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,CBO,2399,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,CGY,2400,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,CRM,6024,,0,DH4,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,DGT,2425,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,DWC,8076,,0,330,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,GES,2402,Y,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,KLO,2430,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,LGP,4203,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,MPH,2426,,0,DH3,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,OZC,4204,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,PPS,2433,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,RXS,6026,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,SUG,6016,,0,DH4,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,TUG,6021,,0,DH4,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MNL,2397,ZAM,2404,,0,320,MNL,RPLL,14.5086,121.019997,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,MPH,2426,MNL,2397,,0,DH3,MPH,RPVE,11.9245,121.954002,7.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,OZC,4204,MNL,2397,,0,320,OZC,RPMO,8.178509712219238,123.84200286865234,75.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,PPS,2433,MNL,2397,,0,320,PPS,RPVP,9.742119789123535,118.75900268554688,71.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,RXS,6026,MNL,2397,,0,320,RXS,RPVR,11.597700119018556,122.7519989013672,10.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,SUG,6016,MNL,2397,,0,DH4,SUG,RPMS,9.755838325629998,125.480947495,20.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,TUG,6021,MNL,2397,,0,DH4,TUG,RPUT,17.6433676823,121.733150482,70.0,8.0,N,Asia/Manila,airport,OurAirports
2P,897,ZAM,2404,MNL,2397,,0,320,ZAM,RPMZ,6.922420024871826,122.05999755859376,33.0,8.0,N,Asia/Manila,airport,OurAirports
2Z,1729,GIG,2560,RAO,2613,,0,AT7,GIG,SBGL,-22.8099994659,-43.2505569458,28.0,-3.0,S,America/Sao_Paulo,airport,OurAirports
2Z,1729,SSA,2621,BRA,7373,,0,AT7,SSA,SBSV,-12.9086112976,-38.3224983215,64.0,-3.0,S,America/Fortaleza,airport,OurAirports
2Z,1729,SSA,2621,VDC,6039,,0,AT7,SSA,SBSV,-12.9086112976,-38.3224983215,64.0,-3.0,S,America/Fortaleza,airport,OurAirports
3F,16262,KTN,3808,CGA,7144,,0,DHP,KTN,PAKT,55.35559845,-131.7140045,89.0,-9.0,A,America/Anchorage,airport,OurAirports
3F,16262,KTN,3808,HYL,7145,,0,DHP,KTN,PAKT,55.35559845,-131.7140045,89.0,-9.0,A,America/Anchorage,airport,OurAirports
3F,16262,KTN,3808,KTB,7147,,0,DHP,KTN,PAKT,55.35559845,-131.7140045,89.0,-9.0,A,America/Anchorage,airport,OurAirports
3F,16262,KTN,3808,MTM,7146,,0,DHP,KTN,PAKT,55.35559845,-131.7140045,89.0,-9.0,A,America/Anchorage,airport,OurAirports
3F,16262,MTM,7146,KTN,3808,,0,DHP,MTM,PAMM,55.131001,-131.578003,0.0,-9.0,A,America/Anchorage,airport,OurAirports
3G,595,BCN,1218,BJL,1050,,0,319,BCN,LEBL,41.2971,2.07846,12.0,1.0,E,Europe/Madrid,airport,OurAirports
3G,595,CKY,4162,OXB,5665,,0,319,CKY,GUCY,9.57689,-13.612,72.0,0.0,N,Africa/Conakry,airport,OurAirports
3G,595,DKR,1084,ACC,248,,0,319,DKR,GOOY,14.739700317382812,-17.49020004272461,85.0,0.0,N,Africa/Dakar,airport,OurAirports
3G,595,DKR,1084,BJL,1050,,0,319,DKR,GOOY,14.739700317382812,-17.49020004272461,85.0,0.0,N,Africa/Dakar,airport,OurAirports
3G,595,DKR,1084,DLA,897,,0,319,DKR,GOOY,14.739700317382812,-17.49020004272461,85.0,0.0,N,Africa/Dakar,airport,OurAirports
3G,595,DKR,1084,FNA,1059,,0,319,DKR,GOOY,14.739700317382812,-17.49020004272461,85.0,0.0,N,Africa/Dakar,airport,OurAirports
